edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
51,0,0,5,6,3,60000
21,0,0,5,4,2,5000
44,0,0,1,1,3,7000
56,0,0,5,3,2,30000
40,0,0,1,3,3,14000
28,1,0,5,4,2,30000
53,1,0,5,4,2,10000
47,0,0,1,5,2,16000
29,1,0,5,3,2,10000
65,0,0,1,1,2,3500
41,1,0,5,4,2,10000
36,1,0,1,4,2,3000
33,1,0,1,2,2,6000
41,0,0,5,6,2,40000
56,1,0,1,6,2,10000
40,1,0,6,5,2,3000
55,0,0,5,5,2,9000
39,0,0,1,3,2,15000
40,1,0,5,6,2,40000
33,1,0,5,4,1,8000
31,0,0,1,4,3,27000
26,0,0,1,4,2,8000
68,0,0,5,2,2,3000
41,0,0,1,4,2,20000
43,0,0,5,4,2,23000
41,0,0,1,2,2,16000
24,0,0,5,3,2,1600
54,1,0,2,2,2,4000
70,1,0,5,3,2,1000
44,1,0,1,5,2,800
58,1,0,5,2,2,700
53,0,0,1,3,2,16000
73,1,0,5,2,2,3000
23,0,0,1,3,2,14000
73,1,0,5,6,2,1600
21,0,0,1,3,2,1800
68,0,0,5,2,2,2000
33,1,0,1,5,2,15000
34,1,0,5,6,2,1000
42,1,0,1,5,2,4000
35,1,0,1,2,2,1000
50,0,0,5,4,2,5000
33,1,0,5,6,2,1500
48,0,0,1,5,2,15000
46,0,0,1,1,2,7000
40,0,0,5,4,2,25000
54,1,0,1,1,2,5000
65,1,0,5,3,2,1000
62,0,0,1,1,2,3000
28,0,0,1,5,2,13000
53,0,0,5,5,2,20000
36,0,0,5,3,2,5000
30,1,0,5,5,2,6400
30,1,0,1,4,2,20000
46,0,0,5,4,2,4800
33,0,0,1,6,3,12000
52,1,0,1,3,2,8000
37,1,0,1,3,2,3000
37,0,0,1,2,2,9000
46,1,0,3,6,2,28000
27,0,0,1,4,2,18000
44,0,0,1,3,2,10000
29,0,0,1,1,2,8000
17,1,0,5,3,2,300
